calidad_imagen,marca,modelo,peso,precio_dominioVirtual,pulgadas,sistema_operativo
WUXGA,Acer,Switch 3 SW312-31-C4P6,1.25,199.65,12.2,Windows 10 S
Full HD,HP,Laptop 15s-fq1072ns,1.69,496.64,15.6,Windows 10 Home S
NA,Asus,F409FA-EK247T. Intel Core i3 8145U. RAM 8 GB. 512 GB SSD,1.6,471.23,NA,NA
Full HD,Asus,VivoBook 15 S512JA-BQ1028,1.8,461.55,15.6,No
NA,Lenovo,ThinkPad T460,1.73,454.29,14,Windows 10 Pro
NA,HP,15-dw0005ns,1.74,381.69,NA,NA
NA,Dell,Latitude E7250,NA,375.64,12.5,Windows 10 Pro
HD,HP,EliteBook 820 G2,1.34,369.59,12.5,Windows 7 Professional
Full HD,HP,NA,1.69,599.49,15.6,Windows 10 Home
Full HD,Lenovo,ThinkPad E14,1.64,1075.24,14,Windows 10 Pro
Full HD,HP,250 G7,1.78,599.49,15.6,Windows 10 Home
Full HD,HP,Laptop 14s-dq1015ns,1.46,563.19,14,Windows 10 Home
Full HD,HP,OMEN 15-en0011ns,2.37,1089.54,15.6,Windows 10 Home
Full HD,Lenovo,ThinkBook 15,1.8,987.15,15.6,Windows 10 Pro
Full HD,Huawei,Matebook D 14,1.38,741.77,14,Windows 10 Home
Full HD,HP,EliteBook 840 G7,1.33,1722.07,14,Windows 10 Pro
Full HD+,Dell,XPS 15 9500,2.05,1743.26,15.6,Windows 10 Pro
NA,Apple,MacBook Pro,1.4,1587.41,13.3,macOS Big Sur
Full HD,Lenovo,ThinkBook V15 IIL,1.85,665.75,15.6,Windows 10 Pro
Full HD,HP,OMEN 15-ek0018ns,2.36,1393.64,15.6,FreeDOS
HD,HP,15s-fq1124ns,1.69,484.54,15.6,FreeDOS
HD,Dell,Latitude E7270,1.25,418.64,12.5,Windows 10 Pro
Full HD,Asus,F509JB-EJ003T,1.9,532.94,15.6,Windows 10
Full HD,HP,ProBook x360 440 G1,1.72,514.79,14,Windows 10 Pro
Full HD,Msi,Gaming GF63 10SCSR-876XES Thin,1.86,963.05,15.6,FreeDOS
Full HD,HP,EliteBook 840 G6,1.48,847.54,14,Windows 10 Pro
Full HD,HP,250G8 Intel i5-1135G7,NA,678.98,15.6,No
Full HD,HP,"ntalla (15.6"") 1920 x 1080 Pixeles",1.74,591.12,15.6,Windows 10 Pro
Full HD,Msi,Gaming GF63 10SCSR-835ES Thin,1.86,1216.05,15.6,Windows 10 Home
