calidad_imagen,marca,modelo,peso,precio_dominioVirtual,pulgadas,sistema_operativo
,HP,"HP Solución de montaje en pared Digital Signage con liberación rápida y placa de seguridad, Negro"," 12,5 kg","48,40 €",,
 Full HD,Asus,"ASUS VS247HR, 59,9 cm (23.6""), 1920 x 1080 Pixeles, Full HD, LED, 2 ms, Negro", No indicado,"113,38 €"," 59,9 cm (23.6"")",
 Full HD,Acer,"Acer V7 V227Qbip, 54,6 cm (21.5""), 1920 x 1080 Pixeles, Full HD, 4 ms, Negro"," 2,82 kg","113,30 €"," 54,6 cm (21.5"")",
 Full HD,Philips,"Monitor Philips V Line Monitor LCD Full HD 223V7QDSB/00, 54,6 cm (21.5""), 1920 x 1080 Pixeles, Full HD, LED, 4 ms, Negro", No indicado,"112,00 €"," 54,6 cm (21.5"")",
 Full HD,Asus,"Monitor ASUS VP229HE, 54,6 cm (21.5""), 1920 x 1080 Pixeles, Full HD, LED, 5 ms, Negro", No indicado,"108,04 €"," 54,6 cm (21.5"")",
 Full HD,Samsung,"Monitor Samsung S24A310NHU, 61 cm (24""), 1920 x 1080 Pixeles, Full HD, LCD, 9 ms, Negro", No indicado,"106,46 €"," 61 cm (24"")",
 Full HD,Acer,"Monitor Acer V6 V246HQL, 59,9 cm (23.6""), 1920 x 1080 Pixeles, Full HD, LED, 5 ms, Negro", No indicado,"106,46 €"," 59,9 cm (23.6"")",
 Full HD,Philips,"Philips V Line Monitor LCD con SmartControl Lite 223V5LSB2/10, 54,6 cm (21.5""), 1920 x 1080 Pixeles, Full HD, LED, 5 ms, Negro"," 2,35 kg","105,05 €"," 54,6 cm (21.5"")",
 Full HD,LG,"LG 22MK400H-B, 55,9 cm (22""), 1920 x 1080 Pixeles, Full HD, LED, 5 ms, Negro"," 3,08 kg","104,73 €"," 55,9 cm (22"")",
 Full HD,Hannspree,"Hannspree Hanns.G HL 225 HPB, 54,6 cm (21.5""), 1920 x 1080 Pixeles, Full HD, LED, 5 ms, Negro"," 3,4 kg","101,56 €"," 54,6 cm (21.5"")",
 HD+,HP,"Monitor HP V20 HD+, 49,5 cm (19.5""), 1600 x 900 Pixeles, HD+, LCD, 5 ms, Negro", No indicado,"80,21 €"," 49,5 cm (19.5"")",
 No indicado,Acer,"Monitor Acer V6 V206HQLAb, 49,5 cm (19.5""), 1600 x 900 Pixeles, LCD, 5 ms, Negro"," 2,5 kg","79,00 €"," 49,5 cm (19.5"")",
 HD,Acer,"Acer V6 196HQLAb, 47 cm (18.5""), 1366 x 768 Pixeles, HD, LED, 5 ms, Negro"," 2,32 kg","74,39 €"," 47 cm (18.5"")",
 No indicado,Aoc,"Monitor AOC Pro-line VESA-P1, Negro", No indicado,"12,16 €", No indicado,
 Wide Quad HD,HP,"Monitor HP OMEN 27, HDMI USB 3.0, DisplayPort, 27"" (2560 x 1440), 2 años de garantía - -Km.0-"," 6,48 kg","448,24 €"," 68,6 cm (27"")",
 Quad HD,HP,"HP OMEN 27i, 68,6 cm (27""), 2560 x 1440 Pixeles, Quad HD, 1 ms, Negro - -Km.0-", No indicado,"423,50 €"," 68,6 cm (27"")",
 Full HD,Asus,"ASUS VP247HAE, 59,9 cm (23.6""), 1920 x 1080 Pixeles, Full HD, LED, 5 ms, Negro"," 3,35 kg","121,54 €"," 59,9 cm (23.6"")",
 Full HD,Aoc,"Monitor AOC Pro-line I2490PXQU/BT, 60,5 cm (23.8""), 1920 x 1080 Pixeles, Full HD, LED, 4 ms, Gris", No indicado,"192,22 €"," 60,5 cm (23.8"")",
 Quad HD,Dell,"Monitor DELL UltraSharp U2520D, 63,5 cm (25""), 2560 x 1440 Pixeles, Quad HD, LCD, 8 ms, Negro", No indicado,"374,14 €"," 63,5 cm (25"")",
 4K Ultra HD,Lenovo,"Lenovo ThinkVision T27p-10, 68,6 cm (27""), 3840 x 2160 Pixeles, 4K Ultra HD, LED, 4 ms, Negro", 5 kg,"536,60 €"," 68,6 cm (27"")",
 4K Ultra HD,LG,"Monitor LG 27UL550, 68,6 cm (27""), 3840 x 2160 Pixeles, 4K Ultra HD, LED, 5 ms, Plata", No indicado,"318,98 €"," 68,6 cm (27"")",
 Full HD,Asus,"Monitor ASUS VZ279HEG1R, 68,6 cm (27""), 1920 x 1080 Pixeles, Full HD, 1 ms, Negro", No indicado,"189,85 €"," 68,6 cm (27"")",
 Full HD,Lenovo,"Monitor Lenovo ThinkVision T22i-20, 54,6 cm (21.5""), 1920 x 1080 Pixeles, Full HD, LED, 6 ms, Negro", No indicado,"158,36 €"," 54,6 cm (21.5"")",
 Full HD,Aoc,"Monitor AOC Basic-line 27B2H/EU, 68,6 cm (27""), 1920 x 1080 Pixeles, Full HD, LED, 4 ms, Negro", No indicado,"140,29 €"," 68,6 cm (27"")",
 Full HD,Acer,"Monitor Acer KA KA270HAbid, 68,6 cm (27""), 1920 x 1080 Pixeles, Full HD, LED, 4 ms, Negro"," 3,74 kg","134,48 €"," 68,6 cm (27"")",
 Full HD,Dell,"Monitor DELL P2419H, 61 cm (24""), 1920 x 1080 Pixeles, Full HD, LCD, 8 ms, Negro"," 3,26 kg","175,72 €"," 61 cm (24"")",
 Full HD,Dell,"Monitor DELL P2319H, 58,4 cm (23""), 1920 x 1080 Pixeles, Full HD, LED, 8 ms, Negro"," 3,11 kg","168,02 €"," 58,4 cm (23"")",
 UltraWide Full HD,LG,"Monitor LG 34WL500-B, 86,4 cm (34""), 2560 x 1080 Pixeles, UltraWide Full HD, LED, 5 ms, Negro"," 5,9 kg","321,93 €"," 86,4 cm (34"")",
 Full HD,LG,"Monitor LG 27MK430H-B, 68,6 cm (27""), 1920 x 1080 Pixeles, Full HD, LED, 5 ms, Negro"," 4,2 kg","163,63 €"," 68,6 cm (27"")",
 UWQHD,LG,"Monitor LG 35WN65C-B, 88,9 cm (35""), 3440 x 1440 Pixeles, UWQHD, 5 ms, Negro"," 6,6 kg","482,87 €"," 88,9 cm (35"")",
 Full HD,LG,"Monitor LG 24BK550Y-W, 60,5 cm (23.8""), 1920 x 1080 Pixeles, Full HD, LCD, 5 ms, Blanco"," 3,6 kg","152,77 €"," 60,5 cm (23.8"")",
 Full HD,Hannspree,"Monitor Monitor Hannspree HT 248 PPB - Pantalla 23.8"" táctil - Resolución 1920 x 1080 Pixeles - Conexiones HDMI,DisplayPort,Puertos USB,VGA - Garantía 2 años"," 4,5 kg","282,69 €"," 60,5 cm (23.8"")",
 Full HD,Hannspree,"Monitor Monitor Hannspree HS 278 PPB - 27"" - Resolución 1920 x 1080 Pixeles - Conexión HDMI, DisplayPort, VGA - Garantía 2 años", 4 kg,"149,48 €"," 68, 6 cm (27"")",
 HD,LG,"Monitor Monitor LG 24TL510V-WZ - 23.6"" - Resolución 1366 x 768 Pixeles - Conexión HDMI, Puertos USB - Garantía 2 años"," 3, 25 kg","160,52 €"," 59, 9 cm (23.6"")",
 Full HD,Viewsonic,"Monitor Viewsonic VX Series VX3211-MH, 81,3 cm (32""), 1920 x 1080 Pixeles, Full HD, LED, 3 ms, Negro"," 6,16 kg","222,76 €"," 81,3 cm (32"")",
 Full HD,HP,"HP P-Series P21b G4, 52,6 cm (20.7""), 1920 x 1080 Pixeles, Full HD, LED, 5 ms, Negro", No indicado,"122,45 €"," 52,6 cm (20.7"")",
 Full HD,HP,"Monitor HP V24 FHD, 61 cm (24""), 1920 x 1080 Pixeles, Full HD, LED, 5 ms", No indicado,"122,52 €"," 61 cm (24"")",
 Full HD,Aoc,"Monitor AOC Basic-line 24B2XHM2, 60,5 cm (23.8""), 1920 x 1080 Pixeles, Full HD, LCD, 4 ms, Negro", No indicado,"128,36 €"," 60,5 cm (23.8"")",
 Full HD,Aoc,"Monitor AOC Basic-line 24B2XDAM, 60,5 cm (23.8""), 1920 x 1080 Pixeles, Full HD, LED, 4 ms, Negro", No indicado,"137,17 €"," 60,5 cm (23.8"")",
 Full HD,Msi,"Monitor MSI Optix G32C4, 80 cm (31.5""), 1920 x 1080 Pixeles, Full HD, 1 ms, Negro", No indicado,"313,86 €"," 80 cm (31.5"")",
 Full HD,Dell,"Monitor DELL SE2219H, 54,6 cm (21.5""), 1920 x 1080 Pixeles, Full HD, LED, 8 ms, Negro"," 2,67 kg","121,36 €"," 54,6 cm (21.5"")",
 Full HD,Asus,"Monitor ASUS VZ239HE, 58,4 cm (23""), 1920 x 1080 Pixeles, Full HD, LCD, 5 ms, Negro", No indicado,"121,21 €"," 58,4 cm (23"")",
 Full HD,Hannspree,"Monitor Hannspree Hanns.G HP 225 PJB - 21.5"" - Resolución 1920 x 1080 Pixeles - Conexión DisplayPort, VGA - Garantía 2 años"," 4, 1 kg","121,21 €"," 54, 6 cm (21.5"")",
 Full HD,Aoc,"Monitor Monitor AOC M2060PWDA2 - Pantalla 19.5"" - Resolución 1920 x 1080 Pixeles - Conexión DVI,VGA - Garantía 3 años", No indicado,"120,89 €"," 49,6 cm (19.5"")",
 Full HD,Acer,"Monitor Acer V247Ybip - 23.8"" - Resolución 1920 x 1080 Pixeles - Conexión HDMI, DisplayPort, VGA - Garantía 2 años"," 4, 4 kg","120,65 €"," 60, 5 cm (23.8"")",
 Full HD,Philips,"Philips V Line Monitor LCD Full HD 223V7QHAB/00, 54,6 cm (21.5""), 1920 x 1080 Pixeles, Full HD, LED, 4 ms, Negro"," 2,56 kg","120,47 €"," 54,6 cm (21.5"")",
 Full HD,HP,"Monitor HP V24 FHD, 61 cm (24""), 1920 x 1080 Pixeles, Full HD, LED, 5 ms, Negro", No indicado,"117,96 €"," 61 cm (24"")",
 Full HD,Aoc,"Monitor AOC Basic-line 24B2XH/EU, 60,5 cm (23.8""), 1920 x 1080 Pixeles, Full HD, LED, 4 ms, Negro", No indicado,"116,01 €"," 60,5 cm (23.8"")",
 Full HD,Asus,"ASUS VA249HE, 60,5 cm (23.8""), 1920 x 1080 Pixeles, Full HD, LED, 5 ms, Negro"," 3,7 kg","114,45 €"," 60,5 cm (23.8"")",
 Full HD,Asus,"Monitor ASUS VP228DE - 21.5"" - Resolución 1920 x 1080 Pixeles - Conexión VGA - Garantía 3 años"," 3, 5 kg","113,78 €"," 54, 6 cm (21.5"")",
 Full HD,HP,"Monitor HP OMEN X 25, 24.5"" FHD (1920x1080), 240Hz Gaming, DisplayPort, USB, 2 años de garantía - -Km.0-"," 6,26 kg","387,20 €"," 62,2 cm (24.5"")",
 WUXGA,HP,"Monitor HP Z24xG2 DreamColor, 24"" (1920 x 1200), DreamColor, DVI, DisplayPort, USB, VESA, 3 años de garantía - -Km.0-", No indicado,"363,54 €"," 61 cm (24"")",
