calidad_imagen,marca,modelo,peso,precio_dominioVirtual,pulgadas,sistema_operativo
 WUXGA,Acer,NT.LDREB.007," 1,25 kg","199,65 €"," 31 cm (12.2"")", Windows 10 S
 Full HD,Asus,90NB0JV2-M02530, No indicado,"581,34 €"," 33,8 cm (13.3"")", Windows 10 Home
 Full HD,Lenovo,81J0005YSP," 1,1 kg","580,13 €"," 33,8 cm (13.3"")", Windows 10 Home
 Full HD,Dell,T67NX," 1,9 kg","575,29 €"," 39,6 cm (15.6"")", Windows 10 Pro
 Full HD,HP,1F9G4EA," 1,74 kg","575,29 €"," 39,6 cm (15.6"")", Windows 10 Home
 Full HD,HP,9RH06EA#ABE," 1,69 kg","575,29 €"," 39,6 cm (15.6"")", FreeDOS
Full HD,HP,1F9G4EA,"1,74 kg","569,24 €","39,6 cm (15.6"")",Windows 10 Home
 Full HD,HP,1F9G4EA#ABE," 1,74 kg","569,24 €"," 39,6 cm (15.6"")", Windows 10 Home
,Asus,UM431DA-AM011T," 1,39 kg","568,03 €",,
 HD,Lenovo,82C500HSSP," 1,85 kg","563,19 €"," 39,6 cm (15.6"")", No
 Full HD,HP,2D200EA#ABE," 1,78 kg","563,19 €"," 39,6 cm (15.6"")", Windows 10 Pro
 HD,HP,7KC81EA," 1,47 kg","557,14 €"," 35,6 cm (14"")", Windows 10 Home
 Full HD,HP,2W8Z8EA#ABE," 1,74 kg","552,30 €"," 39,6 cm (15.6"")", Windows 10 Home
 Full HD,HP,3C137EA#ABE," 1,78 kg","543,83 €"," 39,6 cm (15.6"")", Windows 10 Home
 Full HD,Asus,90NB0T32-M04540," 1,6 kg","534,15 €"," 35,6 cm (14"")", Windows 10 Home
 HD,HP,1E6V9EA#ABE_5CD0339NKL," 1,69 kg","532,94 €"," 39,6 cm (15.6"")", Windows 10 Home
Full HD,HP,225N2EA,"1,69 kg","599,49 €","39,6 cm (15.6"")",Windows 10 Home
 Full HD,Lenovo,20TA002KSP," 1,64 kg","1 075,24 €"," 35,6 cm (14"")", Windows 10 Pro
 Full HD,HP,262V1EA," 2,37 kg","1 089,54 €"," 39,6 cm (15.6"")", Windows 10 Home
 Full HD,Lenovo,20SM000GSP," 1,8 kg","987,15 €"," 39,6 cm (15.6"")", Windows 10 Pro
 Full HD,Huawei,53011TCB," 1,38 kg","741,77 €"," 35,6 cm (14"")", Windows 10 Home
 HD+,HP,162H6EA#ABE," 2,38 kg","599,98 €"," 43,9 cm (17.3"")", Windows 10 Home
 Full HD,HP,10U64EA," 1,33 kg","1 722,07 €"," 35,6 cm (14"")", Windows 10 Pro
 No indicado,HP,2V0C4ES, No indicado,"432,84 €"," 39,6 cm (15.6"")", No
 Full HD+,Dell,K9J94," 2,05 kg","1 743,26 €"," 39,6 cm (15.6"")", Windows 10 Pro
 No indicado,Apple,MYD92Y/A," 1,4 kg","1 587,41 €"," 33,8 cm (13.3"")", macOS Big Sur
 Full HD,Lenovo,82C500A3SP," 1,85 kg","665,75 €"," 39,6 cm (15.6"")", Windows 10 Pro
 Full HD,HP,13G22EA," 2,36 kg","1 393,64 €"," 39,6 cm (15.6"")", FreeDOS
 Full HD,Msi,9S7-16R412-876," 1,86 kg","963,05 €"," 39,6 cm (15.6"")", FreeDOS
 Full HD,HP,2W8Y3EA, No indicado,"678,98 €"," 39,6 cm (15.6"")", No
 Full HD,HP,2W1E1EA#ABE," 1,74 kg","499,06 €"," 39,6 cm (15.6"")", Windows 10 Home
 Full HD,HP,176W8EA," 1,23 kg","1 349,15 €"," 33,8 cm (13.3"")", Windows 10 Pro
 Full HD,HP,2W8Z8EA," 1,74 kg","591,12 €"," 39,6 cm (15.6"")", Windows 10 Pro
 Full HD,Msi,9S7-16R412-835," 1,86 kg","1 216,05 €"," 39,6 cm (15.6"")", Windows 10 Home
