calidad_imagen,marca,modelo,peso,precio_dominioVirtual,pulgadas,sistema_operativo
NA,APPLE,IPHONE XS MAX,NA,871.20,NA,NA
NA,MICROSOFT,SURFACE SURFACE PRO,0.812,1206.83,12.3,Windows 10 Pro
NA,MICROSOFT,SURFACE PRO 7,0.775,842.72,12.3,Windows 10 Pro
IPS,APPLE,IPAD IPAD MINI,0.3082,826.60,7.9,iOS 12
TFT,SAMSUNG,GALAXY TAB ACTIVE PRO SM-T545N,0.653,677.93,10.1,Android 9.0
TFT,SAMSUNG,GALAXY TAB S6 LITE TAB S6 LITE 64GB LTE BLACK,0.467,387.31,10.4,Android 10
IPS,LENOVO,TAB M10,0.18,139.96,10.1,Android 9.0
TFT,SAMSUNG,GALAXY TAB A SM-T290N,0.347,135.88,8,Android 9.0
IPS,SPC,GRAVITY PRO,0.55,134.73,10.1,No
IPS,BRIGMTON,BTPC-1025OC-B,0.535,127.95,10,Android 9.0
IPS,BRIGMTON,BTPC-1025OC-N,0.535,127.95,10,Android 9.0
IPS,HUAWEI,MEDIAPAD T3,0.46,117.10,9.6,Android 7.0
IPS,SPC,GRAVITY MAX,0.545,113.47,10.1,Android 8.1
IPS,SUNSTECH,TAB1081,0.32,112.82,10.1,Android 8.1
NA,INNJOO,TABLET CON 3G SUPERB BLACK,NA,111.07,NA,No
IPS,BILLOW,X101PROS+,0.52,110.36,10.1,Android 8.1
IPS,SPC,LIGHTYEAR,0.239,80.74,8,Android 8.1
IPS,BILLOW,X703B,0.25,64.54,7,Android 8.1
IPS,BILLOW,X703W,0.25,64.54,7,Android 8.1
IPS,APPLE,IPAD PRO,0.468,1173.03,11,iOS 12
