calidad_imagen,marca,modelo,peso,precio_dominioVirtual,pulgadas,sistema_operativo
,Apple,"Apple iPhone XS Max, 16,5 cm (6.5""), -- Desprecintado-- 2688 x 1242 Pixeles, 512 GB, 12 MP, iOS 12, Oro, 1 Año de Garantía - -Km.0-",,"871,20 €",,
 No indicado,Microsoft,"Microsoft Surface Pro 7, 31,2 cm (12.3""), 2736 x 1824 Pixeles, 512 GB, 16 GB, Windows 10 Pro, Platino", 790 g,"1 767,66 €"," 31,2 cm (12.3"")", Windows 10 Pro
 No indicado,Microsoft,"Microsoft Surface Pro 7, 31,2 cm (12.3""), 2736 x 1824 Pixeles, 512 GB, 16 GB, Windows 10 Pro, Negro", 790 g,"1 767,66 €"," 31,2 cm (12.3"")", Windows 10 Pro
 No indicado,Microsoft,"Microsoft Surface Pro 7, 31,2 cm (12.3""), 2736 x 1824 Pixeles, 256 GB, 16 GB, Windows 10 Pro, Negro", 790 g,"1 405,95 €"," 31,2 cm (12.3"")", Windows 10 Pro
 No indicado,Microsoft,"Microsoft Surface Pro 7, 31,2 cm (12.3""), 2736 x 1824 Pixeles, 256 GB, 8 GB, Windows 10 Pro, Negro", 775 g,"1 228,96 €"," 31,2 cm (12.3"")", Windows 10 Pro
 No indicado,Microsoft,"Microsoft Surface Surface Pro, 31,2 cm (12.3""), 2736 x 1824 Pixeles, 256 GB, 8 GB, Windows 10 Pro, Negro, Plata", 812 g,"1 206,83 €"," 31,2 cm (12.3"")", Windows 10 Pro
 No indicado,Microsoft,"Microsoft Surface Pro 7, 31,2 cm (12.3""), 2736 x 1824 Pixeles, 256 GB, 8 GB, Windows 10 Pro, Platino", 775 g,"1 195,61 €"," 31,2 cm (12.3"")", Windows 10 Pro
 No indicado,Microsoft,"Microsoft Surface Surface Pro, 31,2 cm (12.3""), 2736 x 1824 Pixeles, 128 GB, 4 GB, Windows 10 Pro, Negro, Plata", 812 g,"1 023,96 €"," 31,2 cm (12.3"")", Windows 10 Pro
 No indicado,Microsoft,"Microsoft Surface Pro 7, 31,2 cm (12.3""), 2736 x 1824 Pixeles, 128 GB, 4 GB, Windows 10 Pro, Platino", 775 g,"842,72 €"," 31,2 cm (12.3"")", Windows 10 Pro
 IPS,Apple,"Apple iPad iPad mini, 20,1 cm (7.9""), 2048 x 1536 Pixeles, 256 GB, 3G, iOS 12, Gris"," 308,2 g","826,60 €"," 20,1 cm (7.9"")", iOS 12
 TFT,Samsung,"Samsung Galaxy Tab Active Pro SM-T545N, 25,6 cm (10.1""), 1920 x 1200 Pixeles, 64 GB, 4 GB, Android 9.0, Negro", 653 g,"677,93 €"," 25,6 cm (10.1"")", Android 9.0
 TFT,Samsung,"Samsung Galaxy Tab S6 Lite Tab S6 Lite 64GB LTE Black, 26,4 cm (10.4""), 2000 x 1200 Pixeles, 64 GB, 4 GB, Android 10, Gris", 467 g,"387,31 €"," 26,4 cm (10.4"")", Android 10
 IPS,Lenovo,"Lenovo Tab M10, 25,6 cm (10.1""), 1280 x 800 Pixeles, 32 GB, 2 GB, Android 9.0, Negro", 180 g,"139,96 €"," 25,6 cm (10.1"")", Android 9.0
 TFT,Samsung,"Samsung Galaxy Tab A SM-T290N, 20,3 cm (8""), 1280 x 800 Pixeles, 32 GB, 2 GB, Android 9.0, Negro", 347 g,"135,88 €"," 20,3 cm (8"")", Android 9.0
 IPS,Lenovo,"Lenovo Tab M10, 25,6 cm (10.1""), 1280 x 800 Pixeles, 32 GB, 2 GB, 480 g, Blanco", 480 g,"134,87 €"," 25,6 cm (10.1"")", No
 IPS,SPC,"SPC Gravity Pro, 25,6 cm (10.1""), 1280 x 800 Pixeles, 32 GB, 3 GB, 1,3 GHz, Blanco", 550 g,"134,73 €"," 25,6 cm (10.1"")", No
 IPS,Brigmton,"Brigmton BTPC-1025OC-B, 25,4 cm (10""), 1280 x 800 Pixeles, 32 GB, 3 GB, Android 9.0, Blanco", 535 g,"127,95 €"," 25,4 cm (10"")", Android 9.0
 IPS,Brigmton,"Brigmton BTPC-1025OC-N, 25,4 cm (10""), 1280 x 800 Pixeles, 32 GB, 3 GB, Android 9.0, Negro", 535 g,"127,95 €"," 25,4 cm (10"")", Android 9.0
 IPS,Huawei,"Huawei MediaPad T3, 24,4 cm (9.6""), 1280 x 800 Pixeles, 16 GB, 2 GB, Android 7.0, Gris", 460 g,"117,10 €"," 24,4 cm (9.6"")", Android 7.0
 IPS,SPC,"SPC Gravity Max, 25,6 cm (10.1""), 1280 x 800 Pixeles, 32 GB, 2 GB, Android 8.1, Plata, Blanco", 545 g,"113,47 €"," 25,6 cm (10.1"")", Android 8.1
 IPS,Sunstech,"Sunstech TAB1081, 25,6 cm (10.1""), 1280 x 800 Pixeles, 32 GB, 3G, Android 8.1, Negro", 320 g,"112,82 €"," 25,6 cm (10.1"")", Android 8.1
 IPS,Sunstech,"Sunstech TAB1081, 25,6 cm (10.1""), 1280 x 800 Pixeles, 32 GB, 3G, Android 8.1, Plata, Blanco", 320 g,"112,82 €"," 25,6 cm (10.1"")", Android 8.1
 No indicado,Innjoo,"InnJoo TABLET CON 3G SUPERB BLACK - QC 1.3GHZ - 2GB RAM - 32GB - 10.1""/25.65CM - ANDROID - C?MARA 0", No indicado,"111,07 €", No indicado, No
 IPS,Billow,"Billow X101PROS+, 25,6 cm (10.1""), 1280 x 800 Pixeles, 32 GB, 2 GB, Android 8.1, Plata, Blanco", 520 g,"110,36 €"," 25,6 cm (10.1"")", Android 8.1
 IPS,SPC,"SPC Lightyear, 20,3 cm (8""), 1280 x 800 Pixeles, 16 GB, 2 GB, Android 8.1, Azul", 239 g,"80,74 €"," 20,3 cm (8"")", Android 8.1
 IPS,Billow,"Billow X703B, 17,8 cm (7""), 1024 x 600 Pixeles, 8 GB, 1 GB, Android 8.1, Negro", 250 g,"64,54 €"," 17,8 cm (7"")", Android 8.1
