calidad_imagen,marca,modelo,peso,precio,pulgadas,sistema_operativo
,HP,WB976AA," 12,5 kg","48,40 €",,
 Full HD,Viewsonic,VA2418-SH, No indicado,"115,65 €",,
 Full HD,Asus,90LM01K0-B04170," 3, 5 kg","113,78 €",,
 Full HD,Asus,90LME2301T02231C, No indicado,"113,38 €",,
 Full HD,Aoc,24B2XHM2, No indicado,"112,75 €",,
 Full HD,LG,24MK400H-B," 4,2 kg","112,25 €",,
 Full HD,Philips,223V7QDSB/00, No indicado,"112,00 €",,
 Full HD,Philips,243V7QDSB/00," 3,1 kg","110,74 €",,
 Full HD,Aoc,24B2XH/EU, No indicado,"110,11 €",,
 Full HD,Asus,90LM02W1-B02370," 3,7 kg","109,02 €",,
 Full HD,Asus,90LM06B3-B01370, No indicado,"108,04 €",,
 Full HD,Philips,243V5LHSB/00," 3,22 kg","106,96 €",,
 Full HD,Samsung,LS24A310NHUXEN, No indicado,"105,45 €",,
 Full HD,Philips,223V7QHAB/00," 2,56 kg","104,45 €",,
 Full HD,LG,22MK400H-B," 3,08 kg","101,42 €",,
 Full HD,Hannspree,HL225HPB," 3,4 kg","98,76 €",,
 Full HD,Asus,90LM0330-B01670, No indicado,"121,21 €",,
 Quad HD,Samsung,LC27G75TQSUXEN, No indicado,"607,81 €",,
 Full HD,Lenovo,61CFRAT2EU, No indicado,"201,34 €",,
 Full HD,Philips,271V8L/00, No indicado,"143,20 €",,
 SXGA,Dell,210-AEUS," 2,08 kg","130,18 €",,
 Full HD,Asus,90LM01L0-B05170," 3,35 kg","122,33 €",,
 Quad HD,Samsung,LC49G95TSSUXEN, No indicado,"1 453,45 €",,
 Full HD,Samsung,LS27AM500NUXEN, No indicado,"237,84 €",,
 Full HD,Philips,272S1AE/00, No indicado,"187,62 €",,
 Full HD,Philips,271V8LA/00, No indicado,"149,75 €",,
 UltraWide Full HD,LG,29WN600-W, No indicado,"237,84 €",,
 Full HD,Dell,DELL-S2721H, No indicado,"165,85 €",,
 Full HD,Philips,241B8QJEB/00," 3,37 kg","175,84 €",,
 Full HD,Philips,273V7QDAB/00," 4,04 kg","150,89 €",,
 No compatible,HP,M1F41AA#ABB," 2,8 kg","184,28 €",,
 WQHD,Viewsonic,XG270QG," 4,7 kg","755,45 €",,
 Full HD,Dell,DELL-P2219HWOS," 2, 75 kg","141,73 €",,
 Full HD,Dell,DELL-P2719H," 4,35 kg","220,84 €",,
 Full HD,Benq,9H.LJALA.TPE, No indicado,"177,66 €",,
 Full HD,Asus,90LM06B3-B02370, No indicado,"132,28 €",,
 Full HD,Asus,90LM05T1-B01E70, No indicado,"189,85 €",,
 Quad HD,LG,32QK500-C, No indicado,"298,51 €",,
 Full HD,LG,24MK430H-B," 2,81 kg","121,70 €",,
 WUXGA,Asus,90LM0291-B03370, No indicado,"213,77 €",,
 Full HD,Benq,9H.LHXLB.QBE," 3,9 kg","136,57 €",,
