modelo,marca,pulgadas,calidad_imagen,sistema operativo,precio_mediamarkt,peso,precio_dominioVirtual
LC32G75TQSRXEN,SAMSUNG,32.0,WQHD,NA,699.0,NA,NA
HP 27F,HP,27.0,Full-HD,NA,179.0,NA,NA
LG 32MN500M-B,LG ELECTRONICS,31.0,Full-HD,NA,199.0,NA,NA
AD80HW,HUAWEI,23.0,Full-HD,NA,139.0,NA,NA
ProArt PA248QV,ASUS,24.0,WUXGA,NA,248.0,NA,NA
ASUS TUF Gaming VG24VQ,ASUS,24.0,Full-HD,NA,239.0,NA,NA
"ASUS ROG Strix XG43VQ,ASUS,43,Full-HD+,NA,""8,3"",929",NA,NA,NA,NA,NA,NA,NA
LC34G55TWWRXEN,SAMSUNG,34.0,2K UltraWide QHD,NA,484.0,NA,NA
LC32R500FHRXEN,SAMSUNG,32.0,Full-HD,NA,219.0,NA,NA
LC27G75TQSRXEN,SAMSUNG,27.0,WQHD,NA,649.0,NA,NA
ASUS TUF Gaming VG279Q1R,ASUS,27.0,Full-HD,NA,248.0,NA,NA
BenQ EX2710,BENQ,27.0,Full-HD,NA,279.0,NA,NA
ASUS TUF Gaming VG259QM,ASUS,24.0,Full-HD,NA,399.0,NA,NA
ASUS BE24EQSB,ASUS,23.0,Full-HD,NA,199.0,NA,NA
ASUS ProArt Display PA278CV,ASUS,27.0,QHD,NA,429.0,NA,NA
ASUS VA27AQSB,ASUS,27.0,WQHD,NA,322.0,NA,NA
ASUS VZ279HEG1R,ASUS,27.0,Full-HD,NA,219.0,NA,NA
ASUS VP229Q,ASUS,21.0,Full-HD,NA,149.0,NA,NA
ASUS ProArt Display PA247CV,ASUS,23.0,Full-HD,NA,274.0,NA,NA
ASUS VA229QSB,ASUS,21.0,Full-HD,NA,159.0,NA,NA
"241V8L/00,PHILIPS,23,Full-HD,NA,""2,64"",129",NA,NA,NA,NA,NA,NA,NA
Mi Desktop Monitor 1C,XIAOMI,23.0,Full-HD,NA,129.0,NA,NA
LG 24GN600-B,LG ELECTRONICS,23.0,Full-HD,NA,199.0,NA,NA
"HP 24m,HP,23,Full-HD,NA,""2,84"",113",NA,NA,NA,NA,NA,NA,NA
C24-25,LENOVO,23.0,Full-HD,NA,119.0,NA,NA
"HP 27m,HP,27,Full-HD,NA,""2,84"",149",NA,NA,NA,NA,NA,NA,NA
