modelo,marca,pulgadas,calidad_imagen,sistema operativo,precio_mediamarkt,peso,precio_dominioVirtual
Chromebook Z3400FT-AJ0111,ASUS,14.0,Full-HD,Chrome OS,479.0,NA,NA
HP 240,HP,14.0,Full-HD,Windows 10 Home,389.0,NA,NA
Chromebook 314,ACER,14.0,Full-HD,Chrome OS,271.0,NA,NA
NEO Z3,THOMSON,12.0,Full-HD,Windows 10 Home,479.0,NA,NA
81M8000LSP,LENOVO,11.0,HD,Windows 10 Pro,290.0,NA,NA
HP Chromebook 14b-na0002ns,HP,14.0,Full-HD,Chrome OS,467.0,NA,NA
HP 250,HP,15.0,Full-HD,Windows 10 Home,699.0,NA,NA
HP 255,HP,15.0,Full-HD,Windows 10 Home,599.0,NA,NA
VivoBook Flip TP412FA-EC707T,ASUS,14.0,Full-HD,Windows 10 Home,749.0,NA,NA
"M415DA-EK337T 14"",ASUS,14,Full-HD,Windows 10 Home,NA,649",NA,NA,NA,NA,NA,NA,NA
F515MA-BR171T,ASUS,15.0,HD,Windows 10 Home,399.0,NA,NA
ZenBook 14 UX425EA-BM019T,ASUS,14.0,Full-HD,Windows 10 Home,1099.0,NA,NA
F515MA-BR040T,ASUS,15.0,HD,Windows 10 Home,349.0,NA,NA
TUF Dash F15 FX516PM-HN023,ASUS,15.0,Full-HD,FreeDOS (Sin sistema operativo),1249.0,NA,NA
ROG Zephyrus G14 GA401II-HE004T,ASUS,14.0,Full-HD,Windows 10 Home,1299.0,NA,NA
ZenBook 14 Ultralight UX435EAL-KC096T,ASUS,14.0,Full-HD,FreeDOS (Sin sistema operativo),1399.0,NA,NA
ROG Zephyrus G14 GA401IU-HA134T,ASUS,14.0,WQHD,Windows 10 Home,1799.0,NA,NA
TUF Gaming FX505DT-HN540T,ASUS,15.0,Full-HD,Windows 10 Home,999.0,NA,NA
VivoBook Flip TM420IA-EC198T,ASUS,14.0,Full-HD,Windows 10 Home,749.0,NA,NA
ZenBook Flip 13 UX363EA-HP359T,ASUS,13.0,Full-HD,Windows 10 Home,1399.0,NA,NA
VivoBook Flip TP412FA-EC641T,ASUS,14.0,Full-HD,Windows 10 Home,649.0,NA,NA
ROG GV301QH-K5254T,ASUS,13.0,Retina 4K,Windows 10 Home,3199.0,NA,NA
IdeaPad 1 11IGL05,LENOVO,11.0,HD,Windows 10,299.0,NA,NA
Legion 5 15ARH05,LENOVO,15.0,Full-HD,Windows 10 Home,1099.0,NA,NA
ZenBook Flip 13 UX363EA-HP043T,ASUS,13.0,Full-HD,Windows 10 Home,1299.0,1.3,1251.42
Yoga Duet 7 13IML05,LENOVO,13.0,WQHD,Windows 10 Home,1099.0,NA,NA
Yoga Slim 9 14ITL5,LENOVO,14.0,UHD 4K,Windows 10 Pro,2299.0,NA,NA
F415JA-EB501,ASUS,14.0,Full-HD,FreeDOS (Sin sistema operativo),549.0,NA,NA
TUF Dash F15 FX516PM-HN023T,ASUS,15.0,Full-HD,Windows 10 Home,1449.0,NA,NA
ROG Zephyrus G14 GA401IU-HA068,ASUS,14.0,WQHD,FreeDOS (Sin sistema operativo),1299.0,NA,NA
ROG Zephyrus G14 GA401II-HE004,ASUS,14.0,Full-HD,FreeDOS (Sin sistema operativo),1239.0,NA,NA
VivoBook F515JA-BR123T,ASUS,15.0,HD,Windows 10 Home,599.0,NA,NA
MagicBook Pro,HONOR,16.0,Full-HD,Windows 10 Home,899.0,NA,NA
HP Laptop 15s-fq2036ns,HP,15.0,Full-HD,FreeDOS (Sin sistema operativo),549.0,NA,NA
VivoBook F515JA-BR137T,ASUS,15.0,HD,Windows 10 Home,599.0,NA,NA
HP Laptop 14s-dq2001ns,HP,14.0,Full-HD,Windows 10 Home,649.0,NA,NA
MateBook D15,HUAWEI,15.0,Full-HD,Windows 10 Home,699.0,NA,NA
MSI BRAVO 15,MSI,15.0,Full-HD,FreeDOS (Sin sistema operativo),849.0,NA,NA
HP Laptop 15s-fq2024ns,HP,15.0,Full-HD,FreeDOS (Sin sistema operativo),769.0,NA,NA
VivoBook14 F413JA-EK307T,ASUS,14.0,Full-HD,Windows 10 Home,849.0,NA,NA
Legion 5 15IMH05H,LENOVO,15.0,Full-HD,FreeDOS (Sin sistema operativo),949.0,NA,NA
IdeaPad Duet 3 10IGL5,LENOVO,10.0,WUXGA,Windows 10 Home,529.0,NA,NA
MateBook D14,HUAWEI,14.0,Full-HD,Windows 10 Home,849.0,NA,NA
MSI GF75 Thin 10UE-017XES,MSI,17.0,Full-HD,FreeDOS (Sin sistema operativo),1399.0,NA,NA
Nitro 5 AN515-55,ACER,15.0,Full-HD,FreeDOS (Sin sistema operativo),999.0,NA,NA
IdeaPad Flex 3 CB 11IGL05,LENOVO,11.0,HD,Chrome OS,381.0,NA,NA
VivoBook 15 K513EA-BQ158,ASUS,15.0,Full-HD,FreeDOS (Sin sistema operativo),649.0,NA,NA
ZenBook 13 UX325EA-EG041T,ASUS,13.0,Full-HD,Windows 10 Home,1099.0,NA,NA
VivoBook 14 K413JP-EK072,ASUS,14.0,Full-HD,FreeDOS (Sin sistema operativo),849.0,NA,NA
Chromebook CT-X636F,LENOVO,10.0,Full-HD,Chrome OS,279.0,NA,NA
VivoBook 15 K513EA-BQ684,ASUS,15.0,Full-HD,FreeDOS (Sin sistema operativo),749.0,NA,NA
HP 14-dw1009ns,HEWLETT PACKARD,14.0,HD,Windows 10 Home,849.0,NA,NA
Chromebook Z1400CN-BV0305,ASUS,14.0,HD,Chrome OS,305.0,NA,NA
TUF Gaming F17 FX706LI-H7117,ASUS,17.0,Full-HD,FreeDOS (Sin sistema operativo),1199.0,NA,NA
HP 14-dw1008ns,HEWLETT PACKARD,14.0,Full-HD,Windows 10 Home,679.0,NA,NA
TUF A15 FA506QR-AZ001,ASUS,15.0,Full-HD,FreeDOS (Sin sistema operativo),1699.0,NA,NA
Chromebook Spin 311,ACER,11.0,HD,Chrome OS,254.0,NA,NA
HP Chromebook x360 12b-ca0001ns,HEWLETT PACKARD,12.0,HD,Chrome OS,317.0,NA,NA
ZenBook™ Pro Duo UX581LV-H2013R,ASUS,15.0,UHD 4K,Windows 10,2699.0,NA,NA
ROG Zephyrus M15 GU502LW-AZ037T,ASUS,15.0,Full-HD,Windows 10 Home,1449.0,NA,NA
MSI GF65 Thin 10SDR-888ES,MSI,15.0,Full-HD,Windows 10 Home,1099.0,NA,NA
HP OMEN 15-ek0013ns,HP,15.0,Full-HD,FreeDOS (Sin sistema operativo),1104.0,NA,NA
